TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20
ChunkedLongArray,MONOTONICGA,0.9677419355,0.4838709677,0.4838709677,0.5483870968,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.9369420307,0.9667003928,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.3225806452,0.3225806452,0.3225806452,0.6022416621,0.9032258065,0.9032258065,0.9032258065,0.9096900944,0.935483871,0.9419472354,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.2580645161,0.2580645161,0.3219155304,0.418826018,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.935483871,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.2903225806,0.2903225806,0.4376061121,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9288732044,0.935483871,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.3870967742,0.3870967742,0.3225806452,0.6685744017,0.9032258065,0.9032258065,0.9032258065,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.6129032258,0.6129032258,0.4516129032,0.935483871,0.960681301,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.4516129032,0.4516129032,0.3548387097,0.935483871,0.9588105495,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
Average,,0.964516129,,,,,,,,,,,,,,,,,,,,
CharArrayWriter,MONOTONICGA,0.9696969697,0.3333333333,0.3333333333,0.7744454858,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.0303030303,0.0303030303,0.0798032683,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.6060606061,0.6060606061,0.8198653199,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.5757575758,0.5757575758,0.8181818182,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.5454545455,0.5454545455,0.8642191142,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.2424242424,0.2424242424,0.7141414141,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.3939393939,0.3939393939,0.3939393939,0.7434895833,0.7575757576,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.1212121212,0.1212121212,0.5678594455,0.7022607023,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.3333333333,0.3333333333,0.7575757576,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.3636363636,0.3636363636,0.7272727273,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
Average,,0.9696969697,,,,,,,,,,,,,,,,,,,,
