TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
HSLColor,MONOTONICGA,0.9154929577,0.7605633803,0.7605633803,0.7605633803,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9111846219,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.7042253521,0.7042253521,0.8846727423,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9148450396,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9147887324,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.905495147,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
Average:,,0.9154929577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CharArrayWriter,MONOTONICGA,0.9696969697,0.5757575758,0.5757575758,0.5757575758,0.5757575758,0.8787878788,0.8905180841,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.2121212121,0.2121212121,0.2121212121,0.656493891,0.8052716514,0.8906102829,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.4545454545,0.4545454545,0.4545454545,0.4769349546,0.8181818182,0.8864777555,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.5454545455,0.5454545455,0.5454545455,0.5454545455,0.7595307918,0.8181818182,0.8346186804,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.8181818182,0.7968160871,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
